Set;Bezeichnung/Name;Typ (Hersteller/Produkt);Seriennr.;Anmerkungen;Anlagennummer
SS 01;GlideCam;Schwebestativ GlideCam HD1000;0EMDF9T00D10;;312000685300
SS 02;Walimex - SS gro·;Schwebestativ Walimex pro 19442 StabyPod 120cm;0EMDF9T00D9;;312000685300
SS 03;easy Balance;Schwebestativ Walimex pro easy Balance three;0EMDF9T00D8;;312000685300
SS 04;easy Balance;Schwebestativ Walimex pro easy Balance three;0EMDF9T00D7;;312000685300
SS 05;easy Balance;Schwebestativ Walimex pro easy Balance three;0EMDF9T00D6;;312000685300
SS 06;easy Balance;Schwebestativ Walimex pro easy Balance three;0EMDF9T00D5;;312000685300
SS 07;easy Balance;Schwebestativ Walimex pro easy Balance three;0EMDF9T00D4;;312000685300
SS 08;easy Balance;Schwebestativ Walimex pro easy Balance three;0EMDF9T00D3;;312000685300
SS 09;Schulterrig;Video Rig Set Walimex 20017 Semi Pro;0EMDF9T00D2;;312000685300
SS 10;Ronin M;3-Achsen-Handheld-Gimbalsystem DJI Ronin-M;0EMDF9T00D1;04H0076498 - Software.Nr.;312000685300
SS 11;Ronin S;Einhand-Gimbal DJI Ronin S inkl. Koffer und Zubehîr;0EMDF9T00D2;erhalten;312000685300
SS 12;Dolly 01;Stativwagen Ravelli Dolly Photo Professionelle ATD;0EMDF9T00D3;Schild fehlt;312000685300
SS 13;Slider 01;Kamera-Slider TARION SliderDolly TR120;0EMDF9T00D4;Pickerl fehlt;312000685300
SS 14;Kran 01;Kamera-Kran;0EMDF9T00D5;;312000685300
SS 15;360¯ Turn;Stativkopf mantona Turnaround 360 Automatic;0EMDF9T00D6;;312000685300
SS 16;Gopro Gimbal;Feiyu G5 Gimbal fÅr Gopro ;0EMDF9T00D7;;312000685300
