Set;Bezeichnung/Name;Typ (Hersteller/Produkt);Seriennr.;Anmerkungen;Anlagennummer
S 01;Manfr. Kugelk;Manfrotto 756B (mit Kugelkopf);*;;400000900006579
S 02;Manfr. 190;Manfrotto 190 XB;*;;400000900006579
S 03;Manfr. 190;Manfrotto 190 XB;*;;400000900006579
S 04;Manfr. 128;Manfrotto 128 RC;*;Stativplatte fehlt;400000900006579
S 05;Manfr. 128;Manfrotto 128 RC;*;fehlt;400000900006579
S 06;Hama 76;Hama Profil 76;*;1 Fu·abdeckung fehlt;400000900006579
S 07;Hama 76;Hama Profil 76;*;;400000900006579
S 08;Einbeinstativ;Einbeinstativ ?Noname?;*;;400000900006579
S 09;ProfiSt-Leihgabe;Vivitar (Leihgabe Baar);*;;400000900006579
S 10;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 11;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 12;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;Tasche fehlt;400000900006579
S 13;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;Tasche fehlt;400000900006579
S 14;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;Tasche leicht beschÑdigt;400000900006579
S 15;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;Stativplatte nicht voll funktionstÅchtig, Tasche kaputt;400000900006579
S 16;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 17;Manfrotto - Profi.St;Videostativ Manfrotto MVK500AM;*;;400000900006579
S 18;Mantona - Profi.St;Videostativ Mantona 18636 Dolomit 1300;*;;400000900006579
S 19;Ravelli  - Profi.St;Video Kamerastativ Ravelli Photo AVTP 75mm;*;;400000900006579
S 20;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
S 21;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;Tasche fehlt;400000900006579
S 22;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;Tasche fehlt;400000900006579
S 23;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 24;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 25;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 26;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 27;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 28;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 29;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 30;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;;400000900006579
S 31;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
S 32;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
S 33;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
S 34;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
S 35;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
S 36;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
S 37;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
S 38;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
S 39;WT-3570;Stativ Walimex WT-3570 m. 3D-Neiger;*;noch nicht beschriftet;400000900006579
