Set;Bezeichnung/Name;Typ (Hersteller/Produkt);Seriennr.;Anmerkungen;Anlagennummer
VZ 01;Atomos Ninja;Atomos Ninja Inferno;;;
VZ 02;DJI Focus Zubehîr SP19;DJI Focus Zubehîr SP19;*;;
VZ 03;Rode Video Mic Pro Rycote;Rode Video Mic Pro Rycote;*;;
VZ 04;Rode Video Mic Pro;Rode Video Mic Pro;*;;
VZ 05;Blackmagic Davinci Resolve Micro Panel;Blackmagic Davinci Resolve Micro Panel;*;;
VZ 06;Gopro Stativhalterung;Gopro Stativhalterung;*;;
VZ 07;Gopro Saugnapf;Gopro Saugnapf;*;;
VZ 08;Gopro Pro bike seat rail mount;Gopro Pro bike seat rail mount;*;;
VZ 09;Gopro Gooseneck;Gopro Gooseneck;*;;
VZ 10;Gopro Handlebar seatpost pole mount;Gopro Handlebar seatpost pole mount;*;;
VZ 11;Ronin M Zubehîrhalter exkl. Bolzen und Kugelkopf;Ronin M Zubehîrhalter exkl. Bolzen und Kugelkopf;*;;
VZ 12;Helios Schraubklemme Mini;Helios Schraubklemme Mini;*;;
VZ 13;Helios Bolzen;Helios Bolzen;*;;
VZ 14;Kugelkopf;Kugelkopf;*;;
VZ 15;Helios Kugelkopf fÅr GH4 Blitzschuh;Helios Kugelkopf fÅr GH4 Blitzschuh;*;;
VZ 16;Joby Grop Tight Mount (Befestigung fÅr Festplatte);Joby Grop Tight Mount (Befestigung fÅr Festplatte);*;;
VZ 17;G-Technology eV Series Reader Atomos Caddy Edt. Enclosure, SpeichergehÑuse;G-Technology eV Series Reader Atomos Caddy Edt. Enclosure, SpeichergehÑuse;*;;
VZ 18;Blackmagic DeckLink 8K Pro;Blackmagic DeckLink 8K Pro;*;;
VZ 19;B I G Doppelschraube;B I G Doppelschraube;*;;
VZ 20;B I G Doppelschraube;B I G Doppelschraube;*;;
VZ 21;SDI Kabel 50cm;SDI Kabel 50cm;*;;
VZ 22;Hosa XLR auf 3,5 Klinke Kabel, ca. 30cm;Hosa XLR auf 3,5 Klinke Kabel, ca. 30cm;*;;
VZ 23;Hosa XLR auf 3,5 Klinke Kabel, ca. 30cm;Hosa XLR auf 3,5 Klinke Kabel, ca. 30cm;*;;
VZ 24;Lexar SDXC 64GB UHS-II 2000x;Lexar SDXC 64GB UHS-II 2000x;*;;
VZ 25;Lexar SDXC 64GB UHS-II 2000x;Lexar SDXC 64GB UHS-II 2000x;*;;
VZ 26;Transcend ESD220C, 480 GB       410MB/Sec;Transcend ESD220C, 480 GB       410MB/Sec;*;;
VZ 27;Transcend ESD220C, 480 GB       410MB/Sec;Transcend ESD220C, 480 GB       410MB/Sec;*;;
VZ 28;Angelbird Atom X SSDMINI 500 GB SSD Festplatte fÅr Atomos;Angelbird Atom X SSDMINI 500 GB SSD Festplatte fÅr Atomos;*;;
VZ 29;Angelbird Atom X SSDMINI 500 GB SSD Festplatte fÅr Atomos;Angelbird Atom X SSDMINI 500 GB SSD Festplatte fÅr Atomos;*;;
VZ 30;Ronin M Battery Charger (Spare Part 29);Ronin M Battery Charger (Spare Part 29);*;;
VZ 31;Ronin M Ersatzakku 4S Battery (Spare Part 39);Ronin M Ersatzakku 4S Battery (Spare Part 39);*;;
VZ 32;Ersatzakku fÅr Blackmagic Cinema Pocket;Ersatzakku fÅr Blackmagic Cinema Pocket;*;;
VZ 33;Ersatzakku fÅr Panasonic GH4;Ersatzakku fÅr Panasonic GH4;*;;
